基金类型,五年回报(年化) 的平均值,十年回报(年化) 的平均值
QDII-商品,12.91702761904762,1.9922785714285716
QDII-混合平衡,7.786735,0
指数型-其他,4.487775454545455,1.0781959090909092
REITs,2.93645,0
QDII-普通股票,2.4509635135135133,1.4588174324324323
商品,2.19455,0
指数型-海外股票,2.1708751503759403,0.76436
债券型-混合一级,1.9067659316037735,0.8645464504716982
货币型-普通货币,1.877115,1.16168
货币型-浮动净值,1.72248625,0
债券型-长债,1.4529626607091382,0.1784704756413952
混合型-灵活,1.3551706830717012,0.5699037887144676
债券型-混合二级,1.1295463563636363,0.37898080727272726
QDII-混合偏股,1.0268032323232323,0.5218175757575757
债券型-中短债,0.9289447643979057,0.13102084816753926
混合型-偏债,0.9037068008784773,0.10534942166910688
指数型-固收,0.8243393298969072,0.03797774914089347
股票型,0.5993541658630666,0.250451456123433
指数型-股票,0.5787405159128978,-0.011928422110552764
混合型-平衡,0.2822384126984127,0.5992801587301587
混合型-偏股,0.06937872639530004,0.09232849559378933
QDII-混合灵活,-0.09913,-0.08772600000000001
QDII-纯债,-0.20693125,0.319735
混合型-绝对收益,-0.4664258974358974,0.35408384615384614
QDII-混合债,-2.143059545454545,-0.14182590909090909
