基金类型,总资产规模（亿元）
债券型-长债,14761956.019999979
指数型-固收,9299014.43
混合型-偏债,2002459.5600000015
货币型-浮动净值,1013001.1
债券型-混合一级,327800.8100000006
混合型-偏股,243711.80000000013
债券型-混合二级,12697.140000000003
指数型-股票,10092.190000000013
债券型-中短债,9458.990000000009
混合型-灵活,8483.460000000043
股票型,5233.330000000007
FOF-均衡型,2351.0400000000004
指数型-海外股票,2091.17
FOF-稳健型,751.9999999999994
指数型-其他,733.23
货币型-普通货币,656.38
QDII-混合偏股,634.4800000000001
QDII-普通股票,624.3299999999999
QDII-纯债,506.9100000000003
混合型-平衡,412.27000000000004
FOF-进取型,305.29000000000013
QDII-混合债,234.18
QDII-FOF,104.71000000000001
QDII-混合灵活,71.24999999999999
混合型-绝对收益,54.160000000000004
QDII-商品,35.00999999999999
REITs,30.18
QDII-混合平衡,30.1
商品,22.740000000000002
QDII-REITs,2.13
